r[m]	m[Msun]	rho[g/cm^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
557.1061686657839	7.786202887417173e-11	213824757.42139244	5.892643446870175e+24	63.03139311371046	7.9890751257356385	1.9717961846984153	0.9989992648563444
1114.2123373315678	6.228960068138057e-10	213824598.20581445	5.892637488743464e+24	63.03134618878497	7.9890691796076885	1.9717955950443669	0.9989992648563444
1671.3185059973516	2.1022724759935047e-09	213824332.84683952	5.892627558547784e+24	63.03126798067067	7.9890592694064475	1.9717946122878358	0.9989992648563444
2228.4246746631356	4.983159203438043e-09	213823961.34495735	5.89261365630688e+24	63.031158489512215	7.989045395150258	1.971793236429177	0.9989992648563444
2785.5308433289197	9.732719781883254e-09	213823483.70085755	5.892595782053879e+24	63.0310177155125	7.989027556864812	1.9717914674688912	0.9989992648563444
3342.6370119947037	1.6818112238372824e-08	213822899.91542467	5.892573935831357e+24	63.030845658931824	7.989005754583093	1.9717893054076148	0.9989992648563444
3899.7431806604877	2.6706487642883473e-08	213822209.98973364	5.892548117691338e+24	63.03064232008762	7.988979988345309	1.9717867502461184	0.9989992648563444
4456.849349326271	3.986498871698232e-08	213821413.92506364	5.892518327695311e+24	63.03040769935655	7.988950258199189	1.9717838019853307	0.9989992648563444
5013.955517992055	5.6760748442522715e-08	213820511.7228827	5.892484565914217e+24	63.030141797171304	7.9889165641995445	1.9717804606262985	0.9989992648563444
5571.061686657839	7.78608886703853e-08	213819503.38486147	5.892446832428458e+24	63.02984461402387	7.98887890640871	1.9717767261702304	0.9989992648563444
6128.167855323623	1.0363251872927035e-07	213818388.9128636	5.892405127327893e+24	63.02951615046376	7.988837284896294	1.9717725986184698	0.9989992648563444
6685.274023989407	1.3454273403454775e-07	213817168.30894753	5.892359450711837e+24	63.02915640709752	7.988791699739153	1.9717680779724946	0.9989992648563444
7242.380192655191	1.7105861469717204e-07	213815841.57537	5.892309802689062e+24	63.028765384589796	7.988742151021478	1.971763164233926	0.9989992648563444
7799.486361320975	2.1364722413266717e-07	213814408.7145832	5.892256183377796e+24	63.028343083663735	7.988688638834898	1.9717578574045354	0.9989992648563444
8356.59252998676	2.6277560767018896e-07	213812869.729236	5.892198592905723e+24	63.02788950509992	7.988631163278291	1.9717521574862307	0.9989992648563444
8913.698698652543	3.1891079116167127e-07	213811224.62217283	5.892137031409983e+24	63.02740464973591	7.988569724457777	1.971746064481051	0.9989992648563444
9470.804867318326	3.825197795910614e-07	213809473.3964338	5.89207149903717e+24	63.026888518468176	7.9885043224869285	1.9717395783911909	0.9989992648563444
10027.911035984109	4.540695556836536e-07	213807616.05525616	5.892001995943332e+24	63.026341112250435	7.98843495748657	1.9717326992189788	0.9989992648563444
10585.017204649892	5.340270785155234e-07	213805652.6020738	5.891928522293969e+24	63.02576243209451	7.988361629584893	1.9717254269668885	0.9989992648563444
11142.123373315675	6.228592821230721e-07	213803583.04051343	5.891851078264034e+24	63.02515247906944	7.988284338917327	1.9717177616375279	0.9989992648563444
11699.229541981458	7.210330741126875e-07	213801407.37440094	5.89176966403793e+24	63.024511254302595	7.988203085626709	1.971709703233653	0.9989992648563444
12256.335710647241	8.29015334270526e-07	213799125.60775948	5.891684279809515e+24	63.023838758978876	7.988117869863142	1.9717012517581585	0.9989992648563444
12813.441879313024	9.47272913172423e-07	213796737.74480316	5.891594925782091e+24	63.023134994340985	7.988028691784077	1.9716924072140796	0.9989992648563444
13370.548047978808	1.0762726307939397e-06	213794243.7899463	5.891501602168415e+24	63.02239996168954	7.987935551554281	1.9716831696045953	0.9989992648563444
13927.65421664459	1.2164812751205487e-06	213791643.74780023	5.891404309190687e+24	63.02163366238293	7.987838449345858	1.9716735389330255	0.9989992648563444
14484.760385310374	1.3683656007579717e-06	213788937.62316662	5.891303047080555e+24	63.020836097836266	7.987737385338078	1.9716635152028188	0.9989992648563444
15041.866553976157	1.5323923275426664e-06	213786125.42104873	5.891197816079113e+24	63.02000726952455	7.9876323597178125	1.9716530984175913	0.9989992648563444
