r[m]	m[Msun]	rho[g/cm^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
133.3521432163324	1.1867967349871713e-10	23764162677.423664	3.1622776601683794e+27	6829.604576981082	884.7394463638077	11.083249315042558	0.996203530870393
266.7042864326648	9.494369287966195e-10	23764138898.112465	3.162273423761869e+27	6829.5977214407	884.7385623977993	11.083245450687006	0.996203530870393
400.0564296489972	3.2043464659130513e-09	23764099265.992348	3.162266363099134e+27	6829.5862955588545	884.7370891235327	11.083239010096397	0.996203530870393
533.4085728653296	7.595477300461995e-09	23764043781.16334	3.16225647820282e+27	6829.570299364518	884.7350265447284	11.083229993274125	0.996203530870393
666.7607160816619	1.4834889897753387e-08	23763972443.76505	3.162243769104514e+27	6829.549732898045	884.7323746665736	11.08321840022484	0.996203530870393
800.1128592979943	2.563463332277708e-08	23763885253.97747	3.162228235844813e+27	6829.524596211415	884.7291334957422	11.083204230954564	0.996203530870393
933.4650025143267	4.0706742390256903e-08	23763782212.01942	3.1622098784733295e+27	6829.494889367866	884.7253030403616	11.083187485470505	0.996203530870393
1066.8171457306591	6.076323481479423e-08	23763663318.150276	3.162188697048694e+27	6829.46061244244	884.720883310069	11.083168163781336	0.996203530870393
1200.1692889469916	8.651610836111963e-08	23763528572.66949	3.162164691638554e+27	6829.421765521592	884.715874315972	11.083146265897012	0.996203530870393
1333.521432163324	1.1867733799446969e-07	23763377975.91554	3.1621378623195765e+27	6829.378348703202	884.7102760706447	11.083121791828738	0.996203530870393
1466.8735753796566	1.5795887303110719e-07	23763211528.26755	3.162108209177445e+27	6829.330362096841	884.7040885881632	11.083094741589157	0.996203530870393
1600.225718595989	2.0507263428900314e-07	23763029230.14415	3.16207573230686e+27	6829.277805823499	884.6973118840694	11.083065115192158	0.996203530870393
1733.5778618123215	2.607305112386974e-07	23762831082.004032	3.1620404318115413e+27	6829.220680015728	884.6899459753939	11.083032912652998	0.996203530870393
1866.930005028654	3.25644359154356e-07	23762617084.345387	3.162002307804222e+27	6829.158984817569	884.6819908806388	11.082998133988223	0.996203530870393
2000.2821482449865	4.005259962650456e-07	23762387237.706947	3.161961360406651e+27	6829.092720384671	884.6734466197987	11.08296077921576	0.996203530870393
2133.6342914613188	4.860872009062385e-07	23762141542.66656	3.161917589749594e+27	6829.021886884056	884.6643132143306	11.082920848354778	0.996203530870393
2266.9864346776512	5.830397086715696e-07	23761879999.8425	3.161870995972828e+27	6828.946484494439	884.6545906871946	11.082878341425873	0.996203530870393
2400.3385778939837	6.920952095648619e-07	23761602609.892452	3.1618215792251453e+27	6828.866513405913	884.6442790628091	11.082833258450872	0.996203530870393
2533.690721110316	8.139653451524398e-07	23761309373.514236	3.1617693396643486e+27	6828.781973820141	884.6333783670813	11.082785599452977	0.996203530870393
2667.0428643266487	9.493617057157458e-07	23761000291.445534	3.161714277457252e+27	6828.692865950346	884.6218886274019	11.082735364456717	0.996203530870393
2800.395007542981	1.0989958274042789e-06	23760675364.46369	3.161656392779679e+27	6828.599190021175	884.609809872632	11.08268255348791	0.996203530870393
2933.7471507593136	1.263579189388876e-06	23760334593.38611	3.1615956858164635e+27	6828.500946268889	884.5971421331213	11.082627166573753	0.996203530870393
3067.099293975646	1.443823211015348e-06	23759977979.069744	3.161532156761447e+27	6828.398134941175	884.5838854406884	11.082569203742706	0.996203530870393
3200.4514371919786	1.6404392489584966e-06	23759605522.41168	3.1614658058174776e+27	6828.290756297309	884.5700398286415	11.082508665024612	0.996203530870393
3333.803580408311	1.8541385943765207e-06	23759217224.34876	3.161396633196407e+27	6828.178810608055	884.5556053317637	11.082445550450615	0.996203530870393
3467.1557236246435	2.085632470065838e-06	23758813085.85736	3.1613246391190925e+27	6828.062298155583	884.5405819863055	11.082379860053138	0.996203530870393
3600.507866840976	2.335632027616333e-06	23758393107.954075	3.161249823815395e+27	6827.941219233755	884.5249698300148	11.082311593866011	0.996203530870393
3733.8600100573085	2.6048483445670573e-06	23757957291.69515	3.161172187524174e+27	6827.8155741478395	884.5087689021105	11.082240751924354	0.996203530870393
3867.212153273641	2.893992421562394e-06	23757505638.17654	3.161091730493291e+27	6827.685363214577	884.49197924328	11.082167334264577	0.996203530870393
4000.5642964899735	3.2037751795086996e-06	23757038148.534016	3.161008452979606e+27	6827.550586762253	884.4746008956988	11.082091340924451	0.996203530870393
4133.916439706306	3.534907456731455e-06	23756554823.943573	3.1609223552489723e+27	6827.411245130708	884.4566339030214	11.082012771943088	0.996203530870393
4267.268582922638	3.888100006132936e-06	23756055665.6201	3.160833437576241e+27	6827.267338671139	884.4380783103676	11.081931627360852	0.996203530870393
4400.620726138971	4.264063492350411e-06	23755540674.819397	3.1607417002452563e+27	6827.11886774645	884.418934164355	11.081847907219544	0.996203530870393
4533.972869355303	4.663508488914902e-06	23755009852.836052	3.1606471435488535e+27	6826.965832730819	884.3992015130527	11.081761611562168	0.996203530870393
4667.325012571636	5.087145475410522e-06	23754463201.004845	3.160549767788857e+27	6826.80823401004	884.3788804060227	11.081672740433115	0.996203530870393
4800.677155787968	5.535684834634388e-06	23753900720.70074	3.160449573276079e+27	6826.64607198147	884.3579708943103	11.081581293878145	0.996203530870393
4934.029299004301	6.009836849757163e-06	23753322413.337482	3.1603465603303184e+27	6826.479347053772	884.3364730304153	11.081487271944235	0.996203530870393
5067.381442220633	6.5103117014842015e-06	23752728280.369385	3.1602407292803586e+27	6826.30805964722	884.3143868683259	11.081390674679753	0.996203530870393
5200.733585436966	7.037819465217353e-06	23752118323.29011	3.1601320804639616e+27	6826.13221019356	884.2917124635072	11.081291502134382	0.996203530870393
5334.085728653298	7.593070108217433e-06	23751492543.633297	3.1600206142278726e+27	6825.95179913601	884.2684498728987	11.08118975435913	0.996203530870393
5467.437871869631	8.176773486767357e-06	23750850942.972027	3.1599063309278134e+27	6825.766826929268	884.2445991549112	11.081085431406315	0.996203530870393
5600.790015085963	8.789639343335977e-06	23750193522.919415	3.159789230928479e+27	6825.577294039519	884.2201603694316	11.08097853332959	0.996203530870393
5734.142158302296	9.432377303742649e-06	23749520285.12802	3.1596693146035404e+27	6825.38320094441	884.1951335778249	11.080869060183927	0.996203530870393
5867.494301518628	1.0105696874322504e-05	23748831231.290417	3.1595465823356383e+27	6825.184548133111	884.1695188429279	11.080757012025634	0.996203530870393
6000.846444734961	1.0810307439092505e-05	23748126363.138405	3.1594210345163817e+27	6824.981336106161	884.1433162290459	11.080642388912299	0.996203530870393
6134.198587951293	1.1546918256918238e-05	23747405682.444008	3.1592926715463447e+27	6824.773565375737	884.1165258019718	11.080525190902913	0.996203530870393
6267.550731167626	1.2316238458681512e-05	23746669191.01842	3.159161493835066e+27	6824.561236465282	884.0891476289535	11.080405418057692	0.996203530870393
6400.902874383958	1.3118977044448762e-05	23745916890.71277	3.159027501801046e+27	6824.3443499098075	884.061181778719	11.080283070438226	0.996203530870393
6534.255017600291	1.395584288064026e-05	23745148783.418022	3.158890695871741e+27	6824.122906255876	884.0326283214819	11.080158148107468	0.996203530870393
6667.607160816623	1.4827544697200173e-05	23744364871.064266	3.1587510764835645e+27	6823.89690606132	884.0034873289052	11.080030651129604	0.996203530870393
6800.9593040329555	1.573479108476749e-05	23743565155.621826	3.158608644081882e+27	6823.66634989558	883.973758874142	11.079900579570216	0.996203530870393
6934.311447249288	1.6678290491847796e-05	23742749639.100193	3.158463399121012e+27	6823.43123833947	883.9434430318065	11.07976793349617	0.996203530870393
7067.6635904656205	1.7658751221985974e-05	23741918323.548603	3.158315342064216e+27	6823.191571985226	883.912539877979	11.079632712975632	0.996203530870393
7201.015733681953	1.8676881430939778e-05	23741071211.056152	3.1581644733837036e+27	6822.947351436678	883.8810494902333	11.079494918078181	0.996203530870393
7334.367876898285	1.973338912385439e-05	23740208303.751232	3.158010793560625e+27	6822.698577308987	883.8489719475938	11.079354548874644	0.996203530870393
7467.720020114618	2.0828982152437847e-05	23739329603.801968	3.1578543030850674e+27	6822.445250228725	883.8163073305543	11.07921160543716	0.996203530870393
7601.07216333095	2.1964368212137503e-05	23738435113.41571	3.157695002456055e+27	6822.187370833934	883.7830557210801	11.079066087839207	0.996203530870393
7734.424306547283	2.3140254839317412e-05	23737524834.84018	3.1575328921815435e+27	6821.924939774198	883.7492172026203	11.078917996155635	0.996203530870393
7867.776449763615	2.435734940843679e-05	23736598770.361713	3.15736797277842e+27	6821.657957710344	883.7147918600693	11.07876733046253	0.996203530870393
8001.128592979948	2.561635912922938e-05	23735656922.306892	3.157200244772495e+27	6821.3864253148	883.6797797798098	11.07861409083737	0.996203530870393
8134.48073619628	2.6917991043883965e-05	23734699293.0414	3.157029708698503e+27	6821.110343271303	883.6441810496782	11.078458277358909	0.996203530870393
8267.832879412612	2.8262952024225846e-05	23733725884.97046	3.156856365100098e+27	6820.829712275039	883.6079957589814	11.07829989010723	0.996203530870393
8401.185022628944	2.9651948768899475e-05	23732736700.539314	3.1566802145298505e+27	6820.544533032656	883.5712239985005	11.078138929163764	0.996203530870393
8534.537165845277	3.1085687800552066e-05	23731731742.231895	3.156501257549242e+27	6820.254806262129	883.5338658604703	11.077975394611215	0.996203530870393
8667.88930906161	3.256487546301839e-05	23730711012.572296	3.156319494728666e+27	6819.96053269293	883.495921438602	11.077809286533645	0.996203530870393
8801.241452277942	3.4090217918506706e-05	23729674514.12376	3.1561349266474184e+27	6819.661713065934	883.4573908280723	11.077640605016446	0.996203530870393
8934.593595494274	3.5662421144785764e-05	23728622249.488815	3.155947553893699e+27	6819.358348133309	883.4182741255104	11.07746935014627	0.996203530870393
9067.945738710607	3.728219093237298e-05	23727554221.309963	3.155757377064606e+27	6819.050438658796	883.3785714290292	11.077295522011175	0.996203530870393
9201.29788192694	3.895023288172387e-05	23726470432.268696	3.155564396766132e+27	6818.737985417371	883.3382828381859	11.077119120700456	0.996203530870393
9334.650025143272	4.0667252400422545e-05	23725370885.085953	3.155368613613161e+27	6818.420989195475	883.2974084540137	11.076940146304768	0.996203530870393
9468.002168359604	4.243395470037353e-05	23724255582.522236	3.1551700282294635e+27	6818.099450790941	883.2559483790055	11.076758598916093	0.996203530870393
9601.354311575937	4.425104479499475e-05	23723124527.37727	3.1549686412476934e+27	6817.773371012923	883.2139027171087	11.076574478627686	0.996203530870393
9734.70645479227	4.6119227496411734e-05	23721977722.490395	3.154764453309383e+27	6817.4427506820875	883.1712715737527	11.0763877855342	0.996203530870393
9868.058598008602	4.803920741265321e-05	23720815170.739975	3.1545574650649426e+27	6817.107590630311	883.1280550558051	11.076198519731525	0.996203530870393
10001.410741224934	5.001168894484782e-05	23719636875.044064	3.1543476771736503e+27	6816.767891700964	883.084253271609	11.076006681316928	0.996203530870393
10134.762884441267	5.203737628442218e-05	23718442838.35969	3.1541350903036547e+27	6816.423654748719	883.0398663309612	11.075812270388951	0.996203530870393
10268.115027657599	5.411697341030041e-05	23717233063.683365	3.153919705131966e+27	6816.074880639618	882.9948943451202	11.075615287047484	0.996203530870393
10401.467170873932	5.6251184086104705e-05	23716007554.051033	3.1537015223444524e+27	6815.721570251097	882.9493374268054	11.07541573139373	0.996203530870393
10534.819314090264	5.844071185735754e-05	23714766312.53778	3.1534805426358387e+27	6815.363724471906	882.90319569019	11.075213603530196	0.996203530870393
10668.171457306596	6.0686260048685034e-05	23713509342.257748	3.153256766709699e+27	6815.001344202136	882.8564692509077	11.075008903560708	0.996203530870393
10801.523600522929	6.298853176102185e-05	23712236646.364838	3.153030195278452e+27	6814.63443035327	882.8091582260517	11.074801631590432	0.996203530870393
10934.875743739261	6.534822986881739e-05	23710948228.051693	3.152800829063361e+27	6814.262983848079	882.7612627341663	11.07459178772582	0.996203530870393
11068.227886955594	6.776605701724347e-05	23709644090.55051	3.152568668794524e+27	6813.887005620732	882.7127828952633	11.074379372074684	0.996203530870393
11201.580030171926	7.02427156194034e-05	23708324237.132366	3.1523337152108726e+27	6813.506496616633	882.6637188307931	11.074164384746094	0.996203530870393
11334.932173388259	7.277890785354253e-05	23706988671.107876	3.1520959690601655e+27	6813.121457792589	882.614070663674	11.073946825850477	0.996203530870393
11468.284316604591	7.53753356602603e-05	23705637395.8265	3.1518554310989866e+27	6812.731890116692	882.5638385182725	11.073726695499563	0.996203530870393
11601.636459820924	7.803270073972372e-05	23704270414.67711	3.151612102092736e+27	6812.337794568372	882.5130225204152	11.073503993806412	0.996203530870393
11734.988603037256	8.075170454888237e-05	23702887731.087585	3.1513659828156297e+27	6811.939172138364	882.4616227973763	11.07327872088539	0.996203530870393
11868.340746253589	8.353304829868492e-05	23701489348.524887	3.151117074050691e+27	6811.5360238286485	882.4096394778771	11.073050876852154	0.996203530870393
